Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
3394,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3398,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3403,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3405,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3406,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3408,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3409,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3410,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3411,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3412,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3414,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3419,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3420,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3421,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3425,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3426,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3427,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3428,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3429,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3430,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3431,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3432,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3434,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
3435,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3436,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3438,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3439,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3441,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3442,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3443,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3444,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3445,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3446,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3448,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3449,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3451,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3455,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3456,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3458,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3462,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3463,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3466,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3467,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3470,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3472,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3473,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3474,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3478,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3479,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3486,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3491,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3492,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3499,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3505,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3507,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3508,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3509,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3510,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3511,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3514,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3516,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3517,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3519,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3520,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3521,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3525,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3526,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3527,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3528,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3530,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3532,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3533,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3534,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3535,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3543,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3546,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3548,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3549,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3551,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3652,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3653,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3668,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
3680,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3691,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
3693,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3704,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3728,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3732,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
3737,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3738,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3757,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3758,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3765,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,NA
3766,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3769,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3771,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3772,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
3776,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3777,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,NA
3790,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3791,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3792,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,NA
3793,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3794,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3795,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3813,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,NA
3840,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3849,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,NA
3850,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3862,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3863,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3864,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
3867,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3869,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3870,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3871,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3872,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3873,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3875,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3876,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3877,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3878,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3879,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3882,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
3883,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3884,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
