case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
651,0.368681719,0.338800038,0.423714081,0.392654779,0.396125197,0.652583846,0.348632351,0.434919607,0.595443064,0.600350935,0.550977448,0.544962276,0.392654779,0.534289211,0.287690004,0.355260202,0.546616178,0.749171069,0.413628169,0.452851272,NA
673,0.435991662,0.406871093,0.467982469,0.458961217,0.462259204,0.760986689,0.416515988,0.498691833,0.526994786,0.484602939,0.762827662,0.527178135,0.458961217,0.344559924,0.348412425,0.422982097,0.577151364,0.82120933,0.478792989,0.515280047,NA
674,0.461709855,0.43218781,0.493935114,0.484869526,0.4881857,0.799007984,0.441985634,0.524668005,0.67874518,0.620991954,0.810971669,0.610161732,0.484869526,0.564527892,0.372375331,0.448543185,0.660790296,0.827548456,0.504776331,0.541187482,NA
706,0.381068539,0.344914005,0.570366557,0.41095276,0.415347169,0.761080252,0.35668137,0.46572311,0.526673787,0.586626459,0.883066492,0.385570525,0.41095276,0.433928364,0.2558263,0.364684159,0.530766839,0.876527317,0.437784839,0.489833507,NA
707,0.191940146,0.172469955,0.209405868,0.208211043,0.2106166,0.462357673,0.178780384,0.238416089,0.478551407,0.226828639,0.464256195,0.327560388,0.208211043,0.302111813,0.123313604,0.183086803,0.298053604,0.578285877,0.222949021,0.25185693,NA
708,0.110650875,0.098422221,0.121834901,0.121063224,0.122617847,0.193666877,0.102358467,0.140875142,0.219523315,0.101847047,0.309474244,0.119132462,0.121063224,0.114894566,0.068620471,0.105059553,0.11849846,0.433278009,0.130650414,0.149899388,NA
709,0.333132723,0.304741492,0.432664964,0.356098082,0.359436615,0.556417377,0.314054866,0.39700011,0.49132061,0.500743123,0.697873126,0.506040357,0.356098082,0.513149172,0.2567741,0.320348656,0.527761873,0.717344642,0.37632874,0.414515205,NA
722,0.289463899,0.313715997,0.473250366,0.320915777,0.3173008,0.491993801,0.269838357,0.370662419,0.308349821,0.312062244,0.836096814,0.346948231,0.306636773,0.191317847,0.225157999,0.289463899,0.424859614,0.742192883,0.335677902,0.386995281,NA
747,0.270043712,0.280637159,0.296253958,0.288746422,0.291480233,0.543208719,0.249628265,0.334235526,0.369130221,0.328648575,0.64692342,0.279272037,0.280637159,0.239128028,0.21698332,0.267435065,0.325040037,0.683467997,0.305374521,0.33719584,NA
768,0.307748026,0.307748026,0.357365671,0.330677582,0.337449214,0.792924879,0.292102388,0.38013035,0.381758479,0.369383743,0.862764769,0.227054215,0.3273285,0.172208138,0.308587489,0.301416706,0.371064624,0.823846455,0.337449214,0.387583638,NA
822,0.182077607,0.196326535,0.206429182,0.200549259,0.198429445,0.421342619,0.170515145,0.229648316,0.250305964,0.22666986,0.586106063,0.189078491,0.192171351,0.159038489,0.14620038,0.182077607,0.226993818,0.565604273,0.209197827,0.239176333,NA
842,0.28059685,0.28059685,0.386051555,0.304769177,0.311973308,0.740978887,0.264305022,0.358038419,0.508148167,0.37001998,0.922192318,0.323579304,0.301217099,0.3678118,0.153928489,0.27398398,0.360556966,0.774072316,0.311973308,0.36619507,NA
870,0.158343368,0.158343368,0.247504742,0.174645878,0.179562417,0.276888769,0.147528651,0.211606406,0.138101496,0.211432679,0.641798077,0.151833123,0.172231405,0.115373792,0.179760327,0.153936591,0.206881884,0.505403654,0.179562417,0.217386913,NA
897,0.104362805,0.117090685,0.140085214,0.118782979,0.118782979,0.256879579,0.095704258,0.151394239,0.298112929,0.114289477,0.283782426,0.114721898,0.115421572,0.12737072,0.055093566,0.110550429,0.112626305,0.37717868,0.133191677,0.157969909,NA
898,0.108129361,0.118336005,0.122175226,0.121401692,0.119860382,0.194034345,0.100004671,0.14303187,0.222572173,0.096212367,0.303164706,0.125716614,0.115337571,0.11821379,0.074625308,0.108129361,0.111431704,0.430492459,0.12773861,0.150304689,NA
